State,VEP Total Ballots Counted2012,VEP Highest Office2012,VAP Highest Office2012,Total Ballots Counted2012,Highest Office2012,Voting-Eligible Population VEP2012,Voting-Age Population VAP2012,Percent Non-citizen,State Abv
United States,58.60%,58.00%,53.60%,130292355,129070906,222474111,240957993,8.40%,
Alabama,,58.60%,56.00%,,2074338,3539217,3707440,2.60%,AL
Alaska,58.90%,58.70%,55.30%,301694,300495,511792,543763,3.80%,AK
Arizona,53.00%,52.60%,46.50%,2323579,2306559,4387900,4959270,9.90%,AZ
Arkansas,51.10%,50.70%,47.70%,1078548,1069468,2109847,2242740,3.50%,AR
California,55.70%,55.10%,45.10%,13202158,13038547,23681837,28913129,17.40%,CA
Colorado,70.60%,69.90%,64.50%,2596173,2569522,3675871,3981208,6.90%,CO
Connecticut,61.40%,61.30%,55.60%,1560640,1558960,2543202,2801375,8.50%,CT
Delaware,,62.30%,57.80%,,413921,663967,715708,5.10%,DE
District of Columbia,61.60%,61.50%,55.50%,294254,293764,477582,528848,9.70%,DC
Florida,63.30%,62.80%,55.10%,8538264,8474179,13495057,15380947,10.80%,FL
Georgia,59.30%,59.00%,52.30%,3919355,3900050,6606607,7452696,7.20%,GA
Hawaii,44.50%,44.20%,39.90%,437159,434697,982902,1088335,9.20%,HI
Idaho,61.00%,59.80%,55.60%,666290,652274,1091410,1173727,4.60%,ID
Illinois,59.30%,58.90%,53.30%,5279752,5242014,8899143,9827043,8.90%,IL
Indiana,56.00%,55.20%,52.90%,2663368,2624534,4755291,4960376,3.60%,IN
Iowa,70.60%,70.30%,67.10%,1589951,1582180,2251748,2356209,3.20%,IA
Kansas,58.20%,56.90%,53.50%,1182771,1156254,2030686,2162442,5.00%,KS
Kentucky,56.20%,55.70%,53.40%,1815843,1797212,3229185,3368684,2.20%,KY
Louisiana,60.80%,60.20%,57.00%,2014548,1994065,3311626,3495847,2.70%,LA
Maine,69.30%,68.20%,67.00%,724758,713180,1046008,1064779,1.80%,ME
Maryland,67.30%,66.60%,59.50%,2734062,2707327,4063582,4553853,8.90%,MD
Massachusetts,66.20%,65.90%,60.20%,3184196,3167767,4809675,5263550,8.40%,MA
Michigan,65.40%,64.70%,62.00%,4780701,4730961,7312725,7625576,3.50%,MI
Minnesota,76.40%,76.00%,71.40%,2950780,2936561,3861598,4114820,4.40%,MN
Mississippi,,59.30%,57.20%,,1285584,2166825,2246931,1.50%,MS
Missouri,,62.20%,59.60%,,2757323,4432957,4628500,2.50%,MO
Montana,63.50%,62.50%,61.60%,491966,484048,774476,785454,0.90%,MT
Nebraska,61.10%,60.30%,56.90%,804245,794379,1316915,1396507,4.70%,NE
Nevada,56.50%,56.40%,48.20%,1016664,1014918,1800969,2105976,13.30%,NV
New Hampshire,70.90%,70.20%,67.80%,718700,710972,1013420,1047978,3.00%,NH
New Jersey,62.20%,61.50%,53.20%,3683638,3640292,5918182,6847503,12.10%,NJ
New Mexico,54.80%,54.60%,49.80%,786522,783757,1436363,1573400,7.30%,NM
New York,53.50%,53.10%,46.10%,7128852,7074723,13324107,15344671,12.50%,NY
North Carolina,65.40%,64.80%,60.10%,4542488,4505372,6947954,7496980,6.10%,NC
North Dakota,60.40%,59.80%,58.70%,325564,322627,539164,549955,1.70%,ND
Ohio,65.10%,64.50%,62.70%,5632423,5580822,8649495,8896930,2.20%,OH
Oklahoma,,49.20%,46.30%,,1334872,2713268,2885093,4.50%,OK
Oregon,64.20%,63.10%,58.70%,1820507,1789270,2836101,3050747,6.60%,OR
Pennsylvania,,59.50%,57.20%,,5742040,9651432,10037099,3.30%,PA
Rhode Island,,58.00%,53.40%,,446049,768918,834983,7.50%,RI
South Carolina,56.80%,56.30%,53.60%,1981516,1964118,3486838,3662322,3.50%,SC
South Dakota,60.10%,59.30%,57.60%,368270,363815,613190,631472,1.90%,SD
Tennessee,52.30%,51.90%,49.40%,2479733,2458577,4736084,4976284,3.30%,TN
Texas,,49.60%,41.70%,,7993851,16119973,19185395,13.50%,TX
Utah,56.10%,55.50%,51.40%,1028786,1017440,1833339,1978956,7.00%,UT
Vermont,61.20%,60.70%,59.60%,301793,299290,493355,502242,1.80%,VT
Virginia,66.60%,66.10%,60.70%,3888186,3854489,5834676,6348827,7.10%,VA
Washington,65.80%,64.80%,58.60%,3172939,3125516,4822060,5329782,8.20%,WA
West Virginia,,46.30%,45.50%,,670438,1447066,1472642,0.80%,WV
Wisconsin,73.30%,72.90%,69.50%,3084115,3068434,4209370,4417273,3.20%,WI
Wyoming,59.00%,58.60%,56.40%,250701,249061,425142,441726,2.50%,WY